Left-Weight,Left-Distance,Right-Weight,Right-Distance,Class
11,21,31,41,1
11,21,31,42,2
11,21,31,43,2
11,21,31,44,2
11,21,31,45,2
11,21,32,41,2
11,21,32,42,2
11,21,32,43,2
11,21,32,44,2
11,21,32,45,2
11,21,33,41,2
11,21,33,42,2
11,21,33,43,2
11,21,33,44,2
11,21,33,45,2
11,21,34,41,2
11,21,34,42,2
11,21,34,43,2
11,21,34,44,2
11,21,34,45,2
11,21,35,41,2
11,21,35,42,2
11,21,35,43,2
11,21,35,44,2
11,21,35,45,2
11,22,31,41,3
11,22,31,42,1
11,22,31,43,2
11,22,31,44,2
11,22,31,45,2
11,22,32,41,1
11,22,32,42,2
11,22,32,43,2
11,22,32,44,2
11,22,32,45,2
11,22,33,41,2
11,22,33,42,2
11,22,33,43,2
11,22,33,44,2
11,22,33,45,2
11,22,34,41,2
11,22,34,42,2
11,22,34,43,2
11,22,34,44,2
11,22,34,45,2
11,22,35,41,2
11,22,35,42,2
11,22,35,43,2
11,22,35,44,2
11,22,35,45,2
11,23,31,41,3
11,23,31,42,3
11,23,31,43,1
11,23,31,44,2
11,23,31,45,2
11,23,32,41,3
11,23,32,42,2
11,23,32,43,2
11,23,32,44,2
11,23,32,45,2
11,23,33,41,1
11,23,33,42,2
11,23,33,43,2
11,23,33,44,2
11,23,33,45,2
11,23,34,41,2
11,23,34,42,2
11,23,34,43,2
11,23,34,44,2
11,23,34,45,2
11,23,35,41,2
11,23,35,42,2
11,23,35,43,2
11,23,35,44,2
11,23,35,45,2
11,24,31,41,3
11,24,31,42,3
11,24,31,43,3
11,24,31,44,1
11,24,31,45,2
11,24,32,41,3
11,24,32,42,1
11,24,32,43,2
11,24,32,44,2
11,24,32,45,2
11,24,33,41,3
11,24,33,42,2
11,24,33,43,2
11,24,33,44,2
11,24,33,45,2
11,24,34,41,1
11,24,34,42,2
11,24,34,43,2
11,24,34,44,2
11,24,34,45,2
11,24,35,41,2
11,24,35,42,2
11,24,35,43,2
11,24,35,44,2
11,24,35,45,2
11,25,31,41,3
11,25,31,42,3
11,25,31,43,3
11,25,31,44,3
11,25,31,45,1
11,25,32,41,3
11,25,32,42,3
11,25,32,43,2
11,25,32,44,2
11,25,32,45,2
11,25,33,41,3
11,25,33,42,2
11,25,33,43,2
11,25,33,44,2
11,25,33,45,2
11,25,34,41,3
11,25,34,42,2
11,25,34,43,2
11,25,34,44,2
11,25,34,45,2
11,25,35,41,1
11,25,35,42,2
11,25,35,43,2
11,25,35,44,2
11,25,35,45,2
12,21,31,41,3
12,21,31,42,1
12,21,31,43,2
12,21,31,44,2
12,21,31,45,2
12,21,32,41,1
12,21,32,42,2
12,21,32,43,2
12,21,32,44,2
12,21,32,45,2
12,21,33,41,2
12,21,33,42,2
12,21,33,43,2
12,21,33,44,2
12,21,33,45,2
12,21,34,41,2
12,21,34,42,2
12,21,34,43,2
12,21,34,44,2
