1
1	11	21	31	41	51	61	71	81
2	11	21	31	41	51	61	72	81
2
1	13	21	32	41	51	62	72	81
2	12	22	32	42	53	61	73	81
3	11	23	33	43	53	62	71	82
4	11	21	33	42	52	61	72	82
5	11	22	34	41	52	61	73	81
6	11	21	33	44	52	62	71	81
7	12	21	32	42	51	61	71	82
8	13	22	31	42	52	61	72	82
9	12	21	31	44	51	61	73	82
10	12	21	34	41	52	61	72	81
11	12	21	32	42	53	61	71	81
12	11	22	33	44	51	62	72	82
13	13	22	32	42	52	62	73	81
14	11	21	32	42	53	61	72	82
15	12	23	31	42	51	62	73	81
16	13	22	32	41	51	62	73	81
17	12	23	33	42	51	62	71	81
18	12	22	31	42	53	62	73	81
19	11	22	33	42	52	61	71	81
20	13	22	31	41	53	62	71	81
21	12	23	31	41	51	61	72	81
22	12	25	33	41	52	61	71	81
23	11	21	31	44	53	61	71	81
24	11	23	34	42	53	62	73	81
25	12	22	34	42	52	61	73	81
26	11	22	32	43	53	61	71	82
27	12	24	34	44	51	61	71	81
28	12	23	33	41	52	62	71	81
29	13	22	31	41	52	61	72	82
30	11	22	31	44	51	61	73	82
31	12	21	32	43	53	61	71	81
32	11	23	31	43	53	61	73	82
33	12	23	31	41	53	61	73	82
34	11	24	32	42	52	62	72	82
35	13	22	34	43	53	62	71	81
36	11	23	34	44	52	62	71	82
37	12	23	32	41	52	61	71	81
38	11	22	33	41	53	61	73	81
39	13	25	32	41	52	61	71	81
40	12	22	31	43	52	61	72	82
41	11	23	31	41	52	61	73	81
42	11	24	32	42	52	62	71	81
43	11	23	33	41	52	62	71	82
44	11	24	31	42	51	62	71	82
45	12	22	32	44	53	62	71	81
46	13	21	34	43	51	61	71	82
47	11	23	33	41	53	61	73	82
48	12	21	34	44	53	61	72	82
49	11	22	33	43	52	62	71	82
50	12	21	33	41	53	61	72	82
51	13	22	32	43	53	61	72	81
52	12	21	31	44	53	61	72	81
53	12	25	31	41	53	62	71	81
54	12	21	33	44	53	62	73	82
55	13	22	32	43	51	61	73	81
56	11	23	33	42	51	62	72	82
57	11	22	34	41	52	61	72	81
58	11	21	31	43	51	61	72	82
59	13	21	33	41	53	62	71	81
60	11	21	34	41	51	61	72	82
61	11	22	32	41	53	62	72	81
62	13	22	31	42	51	61	73	81
63	13	21	31	43	52	62	72	81
64	11	22	32	41	53	62	72	82
65	11	22	32	41	52	61	72	82
66	11	24	31	41	51	61	71	82
67	12	22	32	41	52	61	73	82
68	12	24	32	41	51	61	71	81
69	13	24	34	42	51	61	72	81
