parents,has_nurs,form,children,housing,finance,social,health,class
11,21,31,41,51,61,71,81,1
11,21,31,41,51,61,71,82,2
11,21,31,41,51,61,71,83,3
11,21,31,41,51,61,72,81,1
11,21,31,41,51,61,72,82,2
11,21,31,41,51,61,72,83,3
11,21,31,41,51,61,73,81,2
11,21,31,41,51,61,73,82,2
11,21,31,41,51,61,73,83,3
11,21,31,41,51,62,71,81,4
11,21,31,41,51,62,71,82,2
11,21,31,41,51,62,71,83,3
11,21,31,41,51,62,72,81,4
11,21,31,41,51,62,72,82,2
11,21,31,41,51,62,72,83,3
11,21,31,41,51,62,73,81,2
11,21,31,41,51,62,73,82,2
11,21,31,41,51,62,73,83,3
11,21,31,41,52,61,71,81,4
11,21,31,41,52,61,71,82,2
11,21,31,41,52,61,71,83,3
11,21,31,41,52,61,72,81,4
11,21,31,41,52,61,72,82,2
11,21,31,41,52,61,72,83,3
11,21,31,41,52,61,73,81,2
11,21,31,41,52,61,73,82,2
11,21,31,41,52,61,73,83,3
11,21,31,41,52,62,71,81,4
11,21,31,41,52,62,71,82,2
11,21,31,41,52,62,71,83,3
11,21,31,41,52,62,72,81,4
11,21,31,41,52,62,72,82,2
11,21,31,41,52,62,72,83,3
11,21,31,41,52,62,73,81,2
11,21,31,41,52,62,73,82,2
11,21,31,41,52,62,73,83,3
11,21,31,41,53,61,71,81,4
11,21,31,41,53,61,71,82,2
11,21,31,41,53,61,71,83,3
11,21,31,41,53,61,72,81,4
11,21,31,41,53,61,72,82,2
11,21,31,41,53,61,72,83,3
11,21,31,41,53,61,73,81,2
11,21,31,41,53,61,73,82,2
11,21,31,41,53,61,73,83,3
11,21,31,41,53,62,71,81,4
11,21,31,41,53,62,71,82,2
11,21,31,41,53,62,71,83,3
11,21,31,41,53,62,72,81,4
11,21,31,41,53,62,72,82,2
11,21,31,41,53,62,72,83,3
11,21,31,41,53,62,73,81,2
11,21,31,41,53,62,73,82,2
11,21,31,41,53,62,73,83,3
11,21,31,42,51,61,71,81,4
11,21,31,42,51,61,71,82,2
11,21,31,42,51,61,71,83,3
11,21,31,42,51,61,72,81,4
11,21,31,42,51,61,72,82,2
11,21,31,42,51,61,72,83,3
11,21,31,42,51,61,73,81,2
11,21,31,42,51,61,73,82,2
11,21,31,42,51,61,73,83,3
11,21,31,42,51,62,71,81,4
11,21,31,42,51,62,71,82,2
11,21,31,42,51,62,71,83,3
11,21,31,42,51,62,72,81,4
11,21,31,42,51,62,72,82,2
11,21,31,42,51,62,72,83,3
11,21,31,42,51,62,73,81,2
11,21,31,42,51,62,73,82,2
11,21,31,42,51,62,73,83,3
11,21,31,42,52,61,71,81,4
11,21,31,42,52,61,71,82,2
11,21,31,42,52,61,71,83,3
11,21,31,42,52,61,72,81,4
11,21,31,42,52,61,72,82,2
11,21,31,42,52,61,72,83,3
11,21,31,42,52,61,73,81,2
11,21,31,42,52,61,73,82,2
11,21,31,42,52,61,73,83,3
11,21,31,42,52,62,71,81,4
11,21,31,42,52,62,71,82,2
11,21,31,42,52,62,71,83,3
11,21,31,42,52,62,72,81,4
11,21,31,42,52,62,72,82,2
11,21,31,42,52,62,72,83,3
11,21,31,42,52,62,73,81,2
11,21,31,42,52,62,73,82,2
11,21,31,42,52,62,73,83,3
11,21,31,42,53,61,71,81,2
11,21,31,42,53,61,71,82,2
11,21,31,42,53,61,71,83,3
11,21,31,42,53,61,72,81,2
11,21,31,42,53,61,72,82,2
11,21,31,42,53,61,72,83,3
11,21,31,42,53,61,73,81,2
11,21,31,42,53,61,73,82,2
11,21,31,42,53,61,73,83,3
11,21,31,42,53,62,71,81,2
11,21,31,42,53,62,71,82,2
11,21,31,42,53,62,71,83,3
11,21,31,42,53,62,72,81,2
11,21,31,42,53,62,72,82,2
11,21,31,42,53,62,72,83,3
11,21,31,42,53,62,73,81,2
11,21,31,42,53,62,73,82,2
11,21,31,42,53,62,73,83,3
11,21,31,43,51,61,71,81,4
11,21,31,43,51,61,71,82,2
11,21,31,43,51,61,71,83,3
11,21,31,43,51,61,72,81,4
11,21,31,43,51,61,72,82,2
11,21,31,43,51,61,72,83,3
11,21,31,43,51,61,73,81,2
11,21,31,43,51,61,73,82,2
11,21,31,43,51,61,73,83,3
11,21,31,43,51,62,71,81,2
11,21,31,43,51,62,71,82,2
11,21,31,43,51,62,71,83,3
11,21,31,43,51,62,72,81,2
11,21,31,43,51,62,72,82,2
11,21,31,43,51,62,72,83,3
11,21,31,43,51,62,73,81,2
11,21,31,43,51,62,73,82,2
11,21,31,43,51,62,73,83,3
11,21,31,43,52,61,71,81,2
11,21,31,43,52,61,71,82,2
11,21,31,43,52,61,71,83,3
11,21,31,43,52,61,72,81,2
11,21,31,43,52,61,72,82,2
11,21,31,43,52,61,72,83,3
11,21,31,43,52,61,73,81,2
11,21,31,43,52,61,73,82,2
11,21,31,43,52,61,73,83,3
11,21,31,43,52,62,71,81,2
11,21,31,43,52,62,71,82,2
11,21,31,43,52,62,71,83,3
11,21,31,43,52,62,72,81,2
11,21,31,43,52,62,72,82,2
11,21,31,43,52,62,72,83,3
11,21,31,43,52,62,73,81,2
11,21,31,43,52,62,73,82,2
11,21,31,43,52,62,73,83,3
11,21,31,43,53,61,71,81,2
11,21,31,43,53,61,71,82,2
11,21,31,43,53,61,71,83,3
11,21,31,43,53,61,72,81,2
11,21,31,43,53,61,72,82,2
11,21,31,43,53,61,72,83,3
11,21,31,43,53,61,73,81,2
11,21,31,43,53,61,73,82,2
11,21,31,43,53,61,73,83,3
11,21,31,43,53,62,71,81,2
11,21,31,43,53,62,71,82,2
11,21,31,43,53,62,71,83,3
11,21,31,43,53,62,72,81,2
11,21,31,43,53,62,72,82,2
11,21,31,43,53,62,72,83,3
11,21,31,43,53,62,73,81,2
11,21,31,43,53,62,73,82,2
11,21,31,43,53,62,73,83,3
11,21,31,44,51,61,71,81,4
11,21,31,44,51,61,71,82,2
